dataset,method,num_layers,num_hops,epochs,lr,weight_decay,hidden_channels,dropout,runs,train_per_seed,val_per_seed,test_per_seed,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
paris,gt,2,2,30000,0.0005,1e-05,64,0.2,3,39.70;40.22;40.29,26.44;26.84;26.22,26.72;27.54;26.94,40.07,0.33,26.5,0.32,27.07,0.42
paris,gt,2,2,30000,0.0005,1e-05,64,0.2,3,39.94;40.08;40.23,26.41;26.67;26.45,27.08;26.93;27.43,40.08,0.14,26.51,0.14,27.15,0.26
