dataset,method,num_layers,num_hops,epochs,lr,weight_decay,hidden_channels,dropout,runs,train_per_seed,val_per_seed,test_per_seed,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
shanghai,gcn,2,2,30000,0.0005,1e-05,64,0.2,3,29.94;29.16;30.10,26.45;26.36;26.67,26.18;26.05;26.26,29.73,0.5,26.49,0.16,26.17,0.11
shanghai,gcn,2,2,30000,0.0005,1e-05,64,0.2,3,30.16;29.94;29.43,27.15;26.96;26.36,26.52;26.29;26.07,29.85,0.37,26.82,0.42,26.29,0.23
