dataset,method,num_layers,num_hops,epochs,lr,weight_decay,hidden_channels,dropout,runs,train_per_seed,val_per_seed,test_per_seed,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
shanghai,sage,2,2,30000,0.0005,1e-05,64,0.2,3,31.60;31.66;30.97,26.01;25.52;25.96,25.99;25.82;25.93,31.41,0.38,25.83,0.27,25.91,0.09
shanghai,sage,2,2,30000,0.0005,1e-05,64,0.2,3,30.37;29.27;31.47,25.57;25.38;25.55,25.48;25.71;25.81,30.37,1.1,25.5,0.11,25.67,0.17
