dataset,method,num_layers,num_hops,epochs,lr,weight_decay,hidden_channels,dropout,runs,train_per_seed,val_per_seed,test_per_seed,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
paris,gcn,2,2,30000,0.0005,1e-05,64,0.2,3,29.21;28.12;28.78,25.13;25.11;24.75,24.58;24.38;24.15,28.7,0.55,25.0,0.21,24.37,0.22
paris,gcn,2,2,30000,0.0005,1e-05,64,0.2,3,29.28;28.47;27.95,25.22;24.87;24.94,24.67;24.04;24.24,28.57,0.67,25.01,0.19,24.32,0.32
